schema,name,severity,issue,details
download,et_delete,LOW,SELECT_STAR,1 SELECT *
download,et_files,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
download,et_get_approximate_size,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
download,et_get_approximate_size,LOW,SELECT_STAR,2 SELECT *
download,et_get_download_jobs,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
download,et_get_download_jobs,LOW,SELECT_STAR,1 SELECT *
download,et_get_download_presigned_url,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
download,et_get_hyperlink_jobs,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
download,et_insert_download_process,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
download,et_insert_download_process,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"5 LEFT JOIN(s), no DISTINCT — verify no row duplication"
download,et_insert_download_process_files,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
download,et_insert_download_process_files,LOW,SELECT_STAR,1 SELECT *
download,et_insert_download_process_files_backup,LOW,SELECT_STAR,1 SELECT *
download,et_insert_download_process_files_backup,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
download,et_insert_download_process_files_hyperlink,LOW,SELECT_STAR,1 SELECT *
download,et_insert_download_process_new,LOW,RAISE_NOTICE_DEBUG,2 statement(s)
download,et_insert_download_process_new,LOW,MULTIPLE_SELECT_INTO,3 SELECT INTO statements
download,et_insert_download_process_new,LOW,SELECT_STAR,1 SELECT *
download,et_insert_download_process_new,LOW,MANY_LEFT_JOINS_NO_DISTINCT,"4 LEFT JOIN(s), no DISTINCT — verify no row duplication"
download,et_process_detail,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
elastic,debug_et_advance_search_filter,LOW,RAISE_NOTICE_DEBUG,3 statement(s)
elastic,debug_et_advance_search_filter,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
elastic,et_advance_search,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
elastic,et_advance_search,LOW,SELECT_STAR,1 SELECT *
elastic,et_advance_search_filter,MEDIUM,VOLATILE_BUT_READ_ONLY,no INSERT/UPDATE/DELETE — should be STABLE
