schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
download,et_delete,"parameter json, ref refcursor",refcursor,plpgsql,v,false,35,1075,download/et_delete.sql
download,et_files,"parameter json, ref refcursor",refcursor,plpgsql,v,false,25,671,download/et_files.sql
download,et_get_approximate_size,"parameter json, ref refcursor",refcursor,plpgsql,v,false,131,6990,download/et_get_approximate_size.sql
download,et_get_download_jobs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,63,2437,download/et_get_download_jobs.sql
download,et_get_download_presigned_url,"parameter json, ref refcursor",refcursor,plpgsql,v,false,38,1030,download/et_get_download_presigned_url.sql
download,et_get_hyperlink_jobs,"parameter json, ref refcursor",refcursor,plpgsql,v,false,65,3954,download/et_get_hyperlink_jobs.sql
download,et_insert_download_process,"parameter json, ref refcursor",refcursor,plpgsql,v,false,196,6789,download/et_insert_download_process.sql
download,et_insert_download_process_backup,"parameter json, ref refcursor",refcursor,plpgsql,v,false,53,1492,download/et_insert_download_process_backup.sql
download,et_insert_download_process_files,"parameter json, ref refcursor",refcursor,plpgsql,v,false,132,7067,download/et_insert_download_process_files.sql
download,et_insert_download_process_files_backup,"parameter json, ref refcursor",refcursor,plpgsql,v,false,124,6548,download/et_insert_download_process_files_backup.sql
download,et_insert_download_process_files_hyperlink,"parameter json, ref refcursor",refcursor,plpgsql,v,false,157,9218,download/et_insert_download_process_files_hyperlink.sql
download,et_insert_download_process_new,"parameter json, ref refcursor",refcursor,plpgsql,v,false,138,6486,download/et_insert_download_process_new.sql
download,et_process_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,34,783,download/et_process_detail.sql
download,et_process_retry,"parameter json, ref refcursor",refcursor,plpgsql,v,false,34,934,download/et_process_retry.sql
download,et_update_batchfile_url,"parameter json, ref refcursor",refcursor,plpgsql,v,false,35,993,download/et_update_batchfile_url.sql
download,et_update_presign_url,"parameter json, ref refcursor",refcursor,plpgsql,v,false,33,828,download/et_update_presign_url.sql
download,et_update_process_status,"parameter json, ref refcursor",refcursor,plpgsql,v,false,49,1473,download/et_update_process_status.sql
download,et_update_size_batches,"parameter json, ref refcursor",refcursor,plpgsql,v,false,48,5824,download/et_update_size_batches.sql
elastic,debug_et_advance_search_filter,parameter json,TABLE(nbundledetailid uuid),plpgsql,v,false,70,2656,elastic/debug_et_advance_search_filter.sql
elastic,et_advance_search,"parameter json, ref refcursor",refcursor,plpgsql,v,false,61,1838,elastic/et_advance_search.sql
elastic,et_advance_search_filter,"parameter json, ref refcursor",refcursor,plpgsql,v,false,67,2867,elastic/et_advance_search_filter.sql
elastic,et_bundles,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,68,2532,elastic/et_bundles.sql
elastic,et_sub_bundles,"parameter json, ref refcursor",refcursor,plpgsql,v,false,40,1314,elastic/et_sub_bundles.sql
elastic,et_update_status,"parameter json, ref refcursor",refcursor,plpgsql,v,false,30,497,elastic/et_update_status.sql
elastic,old_et_advance_search,"parameter json, ref refcursor",refcursor,plpgsql,v,false,58,1746,elastic/old_et_advance_search.sql
elastic,test_et_advance_search_filter,"parameter json, ref refcursor",refcursor,plpgsql,v,false,68,2446,elastic/test_et_advance_search_filter.sql
helpcenter,et_help_get_common_topic,"parameter json, ref refcursor",refcursor,plpgsql,v,false,26,624,helpcenter/et_help_get_common_topic.sql
helpcenter,et_help_get_faq_list,"parameter json, ref refcursor",refcursor,plpgsql,v,false,27,742,helpcenter/et_help_get_faq_list.sql
helpcenter,et_help_get_keywords,"parameter json, ref refcursor",refcursor,plpgsql,v,false,67,2220,helpcenter/et_help_get_keywords.sql
helpcenter,et_help_insert_feedback,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,828,helpcenter/et_help_insert_feedback.sql
helpcenter,et_help_module_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,27,642,helpcenter/et_help_module_detail.sql
helpcenter,et_help_module_iu,"parameter json, ref refcursor",refcursor,plpgsql,v,false,69,1748,helpcenter/et_help_module_iu.sql
helpcenter,et_help_module_list,"parameter json, ref refcursor",refcursor,plpgsql,v,false,32,890,helpcenter/et_help_module_list.sql
helpcenter,et_help_search_key,"parameter json, ref refcursor",refcursor,plpgsql,v,false,22,483,helpcenter/et_help_search_key.sql
helpcenter,et_help_sub_module_detail,"parameter json, ref refcursor",refcursor,plpgsql,v,false,29,678,helpcenter/et_help_sub_module_detail.sql
helpcenter,et_help_sub_module_iu,"parameter json, ref refcursor",refcursor,plpgsql,v,false,81,2505,helpcenter/et_help_sub_module_iu.sql
